user_row,username,current_question,countdown_complete,access_TTD,answer0,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,answer11,answer12,answer13,answer14,answer15,answer16,answer17,answer18,answer19,answer20,answer21,answer22,answer23,answer24,answer25,answer26,answer27,answer28,answer29,answer30,answer31,answer32,answer33,answer34,answer35,answer36,answer37,answer38,answer39,answer40
0,cal,4,True,False,library,blue,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,test,4,True,True,library,blue,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bra,4,True,True,library,blue,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,brad,4,True,True,library,blue,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,""" run",0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"'"" run",0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,bel,4,True,True,library,blue,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,testqs,38,True,True,library,blue,electronic company,3,14744m,platdiamondnite,mt kosciuszko,the future is here,pacman,blarney stone,wednesday seven july,cactus,konami code,saboteur,theoretical,castle,clandestine,d7hjy-9xk7w-j72wd,the pieces,7326129,c2 d1 f2 k4 l6,63192045,viral,meteor,objective,habitat,042,c64,castling,project hourglass,infinity,bart,44:45,catastrophic,obstruction,ad9273,482926353,dream,,,
8,chris,5,False,False,library,blue,blue,41,14744m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,call,36,False,False,library,3,blue,41,14744m,platdiamondnite,mt kosciuszko,the future is here,pacman,blarney stone,wednesday seven july,cactus,konami code,saboteur,theoretical,castle,clandestine,d7hjy-9xk7w-j72wd,the pieces,7326129,c2 d1 f2 k4 l6,63192045,viral,meteor,objective,habitat,042,c64,castling,project hourglass,infinity,bart,44:45,catastrophic,obstruction,ad9273,482926353,dream,,,
10,blainy,4,False,False,library,3,blue,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,troy mclean,4,False,False,library,3,blue,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
